WINTER,CLOSED,OPENED,YEAR1,CLOSEDDATE,OPENEDDATE,DURATION
1855-56,18-Dec,14-Apr,1855,1855-12-18,1856-04-14,118 days 00:00:00.000000000
1856-57,6-Dec,6-May,1856,1856-12-06,1857-05-06,151 days 00:00:00.000000000
1857-58,25-Nov,26-Mar,1857,1857-11-25,1858-03-26,121 days 00:00:00.000000000
1858-59,8-Dec,14-Mar,1858,1858-12-08,1859-03-14,96 days 00:00:00.000000000
1859-60,7-Dec,26-Mar,1859,1859-12-07,1860-03-26,110 days 00:00:00.000000000
1860-61,14-Dec,10-Apr,1860,1860-12-14,1861-04-10,117 days 00:00:00.000000000
1861-62,2-Dec,13-Apr,1861,1861-12-02,1862-04-13,132 days 00:00:00.000000000
1862-63,26-Dec,9-Apr,1862,1862-12-26,1863-04-09,104 days 00:00:00.000000000
1863-64,18-Dec,21-Apr,1863,1863-12-18,1864-04-21,125 days 00:00:00.000000000
1864-65,8-Dec,5-Apr,1864,1864-12-08,1865-04-05,118 days 00:00:00.000000000
1865-66,14-Dec,18-Apr,1865,1865-12-14,1866-04-18,125 days 00:00:00.000000000
1866-67,18-Dec,20-Apr,1866,1866-12-18,1867-04-20,123 days 00:00:00.000000000
1867-68,12-Dec,31-Mar,1867,1867-12-12,1868-03-31,110 days 00:00:00.000000000
1868-69,10-Dec,16-Apr,1868,1868-12-10,1869-04-16,127 days 00:00:00.000000000
1869-70,2-Dec,12-Apr,1869,1869-12-02,1870-04-12,131 days 00:00:00.000000000
1870-71,24-Dec,2-Apr,1870,1870-12-24,1871-04-02,99 days 00:00:00.000000000
1871-72,19-Dec,23-Apr,1871,1871-12-19,1872-04-23,126 days 00:00:00.000000000
1872-73,30-Nov,23-Apr,1872,1872-11-30,1873-04-23,144 days 00:00:00.000000000
1873-74,29-Nov,14-Apr,1873,1873-11-29,1874-04-14,136 days 00:00:00.000000000
1874-75,10-Dec,15-Apr,1874,1874-12-10,1875-04-15,126 days 00:00:00.000000000
1875-76,10-Jan,10-Apr,1875,1876-01-10,1876-04-10,91 days 00:00:00.000000000
1876-77,8-Dec,17-Apr,1876,1876-12-08,1877-04-17,130 days 00:00:00.000000000
1877-78,6-Jan,9-Mar,1877,1878-01-06,1878-03-09,62 days 00:00:00.000000000
1878-79,21-Dec,12-Apr,1878,1878-12-21,1879-04-12,112 days 00:00:00.000000000
1879-80,17-Dec,25-Mar,1879,1879-12-17,1880-03-25,99 days 00:00:00.000000000
